Date;SP500;FTSE100;DAX30;CAC40;TOPIX
27.09.1973;0,229452627;0;0,894978335;0;1,461686217
28.09.1973;-0,597675449;0;-0,757120169;0;-0,008569592
01.10.1973;-0,20310199;0;0,119323542;0;-0,805958673
02.10.1973;0,534563485;0;1,085702793;0;0,241608539
03.10.1973;-0,009192444;0;0,427839613;0;0,358459297
04.10.1973;-0,340715832;0;-0,368874673;0;-0,117433098
05.10.1973;1,319546316;0;-0,684770571;0;-0,837475216
08.10.1973;0,345329314;0;-1,411550139;0;-0,955361168
09.10.1973;-0,09076058;0;0,933304773;0;-0,432761867
10.10.1973;-0,829728945;0;-0,89163907;0;0
11.10.1973;1,697648687;0;0,747029205;0;-0,173043407
12.10.1973;0,314564588;0;2,32270264;0;-0,482580974
